level_0,Location Name,Coordinates,WMO,last_year,Country,Latitude,Longitude,Heating DB 99.6%,Heating DB 99%,Cooling DB 0.4%,Cooling MCWB 0.4%,Cooling DB 1%,Cooling MCWB 1%,Cooling DB 2%,Cooling MCWB 2%,Evaporation WB 0.4%,Evaporation MCDB 0.4%,Evaporation WB 1%,Evaporation MCDB 1%,Evaporation WB 2%,Evaporation MCDB 2%,Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW,Region_number,Region,delta - Heating DB 99.6%,delta - Heating DB 99%,delta - Cooling DB 0.4%,delta - Cooling DB 1%,Heating DB 99.6% - NOAA,Heating DB 99% - NOAA,Cooling DB 0.4% - NOAA,Cooling DB 1% - NOAA
0,Capmon.CS-Saturna.Island BC CAN,"['-123.1281', '48.77530', '178.0']",719140,TMYx,Canada,48.7753N,123.1281W,-4.6,-2.9,26.7,16.8,24.8,16.0,23.1,15.5,17.9,23.5,17.0,22.7,16.2,21.6,-30.964,-23.3,22.0,21.0,71,North America,26.364,20.4,4.7,3.8,-2.0,-0.4,24.664400000000022,23.4
1,Brockville-Tackaberry.Thousand.Islands.Rgnl.AP ON CAN,"['-75.75160', '44.63540', '121.4']",711610,TMYx,Canada,44.6354N,75.7516W,-24.5,-21.1,29.7,21.6,28.2,20.7,26.9,20.2,23.2,27.8,22.3,26.5,21.4,25.2,-44.482,-37.123,28.3964,26.7,71,North America,19.982,16.023,1.3036,1.5,-24.6,-21.4,29.9,28.5
2,Cheticamp.CS NS CAN,"['-60.94722', '46.64500', '44.0']",719590,TMYx,Canada,46.650N,60.950W,-16.0,-13.7,27.3,20.9,25.9,20.1,24.5,19.6,22.2,25.9,21.4,24.6,20.5,23.5,-32.2964,-30.8,23.5964,22.1,71,North America,16.2964,17.1,3.7036,3.8,-42.0,-39.8,22.2,19.74400000000005
3,Interlaken.AP BE CHE,"['7.87030', '46.67220', '578.6']",67340,TMYx,Switzerland,46.6722N,7.8703E,-8.3,-6.6,29.3,19.8,27.3,19.0,25.6,18.1,20.4,27.4,19.6,25.8,18.8,24.3,-23.8964,-22.0,6.0,5.0,67,Africa,15.5964,15.4,23.3,22.3,-7.6,-5.4,30.0,28.0
4,Baccaro.Point NS CAN,"['-65.47170', '43.45080', '5.7']",719200,TMYx,Canada,43.4508N,65.4717W,-12.4,-10.2,20.0,17.7,18.9,17.1,17.9,16.6,18.6,19.3,17.7,18.4,16.9,17.6,-27.5892,-21.0,24.2,22.341,71,North America,15.1892,10.8,-4.2,-3.441,-15.0,-12.0,20.0,19.0
